scenario,group,day,mean_demand,demand_p05,demand_p50,demand_p95,optimized_capacity,optimized_expected_cost,optimized_shortage_probability,optimized_expected_shortage,optimized_expected_unused,mean_policy_capacity,mean_policy_expected_cost,mean_policy_shortage_probability,mean_policy_expected_shortage,mean_policy_expected_unused
behaviour_alpha_0.5,behaviour,0,1500.0,1127.0,1502.0,1874.0,1715,339.1594,0.1736,21.1264,233.5274,1500,548.7026,0.5023,91.8836,89.2846
behaviour_alpha_0.5,behaviour,1,3459.675946568386,2610.0,3459.0,4300.049999999999,3945,765.1819,0.1701,46.5604,532.3799,3460,1225.4693,0.4994,204.1083,204.9278
behaviour_alpha_0.5,behaviour,2,7421.13928482227,5629.0,7404.5,9223.0,8552,1662.2027,0.1518,88.0991,1221.7072,7421,2636.1881,0.4932,438.93,441.5381
behaviour_alpha_0.5,behaviour,3,14507.50062508552,11006.65,14512.5,18110.199999999997,16601,3266.8493,0.1727,199.5013,2269.3428,14508,5258.9235,0.5008,880.347,857.1885
behaviour_alpha_0.5,behaviour,4,24982.83386230559,18864.9,25037.5,31118.249999999996,28626,5569.2237,0.1652,325.6231,3941.1082,24983,8969.8901,0.5051,1499.5675,1472.0526
behaviour_alpha_0.5,behaviour,5,36976.76419123307,27761.850000000002,36931.5,46157.34999999999,42245,8436.3209,0.1756,525.2377,5810.1324,36977,13408.8377,0.4973,2231.9905,2248.8852
behaviour_alpha_0.5,behaviour,6,47493.01426033977,35655.950000000004,47519.0,59142.149999999994,54235,10655.1335,0.1775,653.3305,7388.481,47493,17094.2851,0.5016,2850.1891,2843.3396
behaviour_alpha_0.5,behaviour,7,55016.86666341643,41337.65,55000.0,68350.59999999999,63027,12269.5448,0.1645,699.0559,8774.2653,55017,19723.3706,0.4989,3276.3602,3341.5696
behaviour_alpha_0.5,behaviour,8,59851.34931084506,45071.75,59647.0,74618.79999999997,68486,13522.6951,0.1615,789.6519,9574.4356,59851,21185.9235,0.49,3506.0233,3655.807
behaviour_alpha_0.5,behaviour,9,62797.510131448806,48013.8,62896.5,78419.5,71929,13989.2622,0.1643,841.912,9779.7022,62798,22431.9964,0.5039,3770.8677,3577.6579
behaviour_alpha_0.5,behaviour,10,64422.20855476767,48680.3,64472.0,80209.45,74009,14292.3959,0.157,784.9907,10367.4424,64422,22883.5011,0.502,3814.6749,3810.1266
behaviour_alpha_0.5,behaviour,11,65024.68192442067,49205.0,64996.5,80769.59999999999,74701,14443.937,0.1581,785.1527,10518.1735,65025,23032.4998,0.4992,3829.2465,3886.2673
behaviour_alpha_0.5,behaviour,12,64776.70741653596,48845.8,64846.0,81126.5,74506,14776.9259,0.1625,853.8939,10507.4564,64777,23601.1493,0.5021,3946.0978,3870.6603
behaviour_alpha_0.5,behaviour,13,63817.1878400708,47840.8,63950.0,79688.0,72797,14382.382,0.1804,907.8995,9842.8845,63817,23237.4804,0.5049,3880.4159,3835.4009
behaviour_alpha_0.5,behaviour,14,62284.39777359118,46933.85,62284.0,77601.15,71403,13958.7316,0.1671,801.1054,9953.2046,62284,22365.9008,0.5,3722.1336,3755.2328
behaviour_alpha_0.5,behaviour,15,60315.6952159783,45566.95,60205.5,74995.1,69301,13622.4418,0.1593,758.5653,9829.6153,60316,21473.9056,0.4947,3564.6426,3650.6926
behaviour_alpha_0.5,behaviour,16,58038.37926144698,43829.4,58306.0,72487.49999999997,66480,13098.1641,0.1755,817.4824,9010.7521,58038,21402.8433,0.5122,3608.5956,3359.8653
behaviour_alpha_0.5,behaviour,17,55562.40051116041,42075.75,55668.5,69081.0,63620,12424.2205,0.1653,731.5081,8766.68,55562,19902.6055,0.5052,3320.9056,3298.0775
behaviour_alpha_0.5,behaviour,18,52977.39292271389,40021.45,53124.5,65949.05,60806,11788.0501,0.1604,663.8896,8468.6021,52977,18955.9481,0.5065,3163.3726,3139.0851
behaviour_alpha_0.5,behaviour,19,50353.14254852209,37709.6,50398.5,62896.49999999999,57660,11453.487,0.172,695.4756,7976.109,50353,18414.6436,0.5017,3073.5017,3047.1351
behaviour_alpha_0.5,behaviour,20,47741.947701338424,36029.75,47789.5,59904.299999999996,54845,10988.6939,0.1656,663.0618,7673.3849,47742,17485.6989,0.5018,2929.7293,2837.0524
behaviour_alpha_0.5,behaviour,21,45181.659532985606,33767.95,45257.0,56461.05,51628,10219.5514,0.1771,630.4981,7067.0609,45182,16424.3318,0.5046,2738.9615,2729.5243
behaviour_alpha_0.5,behaviour,22,42698.68945389888,32002.75,42746.5,53293.49999999999,48773,9648.2219,0.1754,602.4653,6635.8954,42699,15501.5109,0.5031,2590.3468,2549.7769
behaviour_alpha_0.5,behaviour,23,40310.65092138561,30417.95,40263.0,50288.54999999999,46186,9081.3418,0.1668,537.4556,6394.0638,40311,14601.8682,0.4977,2436.71,2418.3182
behaviour_alpha_0.5,behaviour,24,38028.53297656816,28501.75,38061.0,47394.05,43485,8417.7255,0.1678,496.9571,5932.94,38029,13585.4209,0.5025,2267.573,2247.5559
behaviour_alpha_0.5,behaviour,25,35858.41888009389,27215.0,35874.5,44543.399999999994,40968,7951.2884,0.1696,475.2431,5575.0729,35858,12682.18,0.5015,2115.3917,2105.2215
behaviour_alpha_0.5,behaviour,26,33802.81157684603,25335.9,33719.5,42316.149999999994,38637,7725.0713,0.1667,471.5687,5367.2278,33803,12137.6227,0.4952,2012.6606,2074.3197
behaviour_alpha_0.5,behaviour,27,31861.639424509187,24100.75,31952.5,39870.05,36542,7179.9836,0.172,436.5837,4997.0651,31862,11680.5806,0.5077,1966.6832,1847.1646
behaviour_alpha_0.5,behaviour,28,30033.011174220337,22688.5,30028.5,37325.149999999994,34600,6689.4847,0.1529,350.2964,4938.0027,30033,10574.1933,0.4995,1758.9145,1779.6208
behaviour_alpha_0.5,behaviour,29,28313.77840998105,21463.0,28340.0,35264.149999999994,32460,6310.3015,0.1562,353.0333,4545.135,28314,9970.4719,0.5027,1654.0617,1700.1634
behaviour_alpha_0.5,behaviour,30,26699.95237900185,20084.55,26729.0,33236.1,30630,5958.6846,0.1615,343.3531,4241.9191,26700,9555.5082,0.5032,1597.8237,1566.3897
behaviour_alpha_0.5,behaviour,31,25187.011229227097,19101.0,25202.0,31378.59999999999,28975,5606.9894,0.1637,311.0577,4051.7009,25187,9065.1198,0.5015,1518.7461,1471.3893
behaviour_alpha_0.5,behaviour,32,23770.1255052442,17905.100000000002,23853.5,29686.05,27187,5390.6889,0.1766,337.2539,3704.4194,23770,8728.8873,0.5114,1463.1203,1413.2858
behaviour_alpha_0.5,behaviour,33,22444.322537363096,16905.95,22457.5,28079.05,25721,5078.1941,0.165,303.1581,3562.4036,22444,8122.3861,0.502,1356.6901,1338.9356
behaviour_alpha_0.5,behaviour,34,21204.605381380934,15990.85,21257.5,26372.249999999996,24254,4719.3436,0.1729,284.5793,3296.4471,21205,7673.6124,0.5068,1285.1241,1247.9919
behaviour_alpha_0.5,behaviour,35,20046.03786867569,15084.9,20008.5,25016.0,22945,4531.9808,0.167,271.8586,3172.6878,20046,7246.87,0.4961,1207.5068,1209.336
behaviour_alpha_0.5,behaviour,36,18963.80442595646,14297.9,18976.0,23645.149999999998,21726,4252.2641,0.1695,250.1078,3001.7251,18964,6869.0571,0.5022,1146.5733,1136.1906
behaviour_alpha_0.5,behaviour,37,17953.251128666507,13559.95,18016.5,22362.0,20658,4003.7119,0.1609,223.0465,2888.4794,17953,6494.0945,0.5103,1088.9436,1049.3765
behaviour_alpha_0.5,behaviour,38,17009.91275855276,12822.0,16958.5,21154.0,19486,3821.5829,0.1672,221.9733,2711.7164,17010,6069.2635,0.4906,1009.2534,1022.9965
behaviour_alpha_0.5,behaviour,39,16129.529518044592,12211.95,16124.5,20117.05,18483,3622.0083,0.1687,214.5214,2549.4013,16130,5817.2429,0.4991,972.5605,954.4404
behaviour_alpha_0.5,behaviour,40,15308.056036371228,11516.0,15278.5,19116.05,17478,3468.9201,0.1726,215.2744,2392.5481,15308,5475.6857,0.4926,911.402,918.6757
behaviour_alpha_0.5,behaviour,41,14541.664753866273,10961.95,14535.0,18096.149999999998,16648,3266.6494,0.1625,190.9573,2311.8629,14542,5153.329,0.4978,856.4039,871.3095
behaviour_alpha_0.5,behaviour,42,13826.7451495187,10407.9,13834.0,17249.1,15850,3091.9979,0.1629,177.7158,2203.4189,13827,4973.6239,0.5013,828.4868,831.1899
behaviour_alpha_0.5,behaviour,43,13159.900014364412,9938.9,13170.0,16473.0,15015,2971.5868,0.1749,187.9414,2031.8798,13160,4748.421,0.5028,793.2471,782.1855
behaviour_alpha_0.5,behaviour,44,12537.939589369325,9511.95,12528.0,15636.05,14374,2837.9913,0.1681,167.9118,1998.4323,12538,4512.9465,0.4982,753.071,747.5915
behaviour_alpha_0.5,behaviour,45,11957.874263021817,8979.75,11956.5,14838.099999999999,13665,2657.6131,0.1652,155.4371,1880.4276,11958,4233.8215,0.4998,702.6385,720.629
behaviour_alpha_0.5,behaviour,46,11416.906291249197,8665.95,11420.5,14238.05,13114,2534.3312,0.1583,141.2077,1828.2927,11417,4077.2544,0.5005,681.1949,671.2799
behaviour_alpha_0.5,behaviour,47,10912.420931321265,8238.85,10914.0,13613.099999999999,12406,2456.1472,0.1746,159.5857,1658.2187,10912,3885.988,0.5005,646.8925,651.5255
behaviour_alpha_0.5,behaviour,48,10441.977262899929,7815.0,10449.5,13048.05,11927,2366.8843,0.1724,147.8011,1627.8788,10442,3780.3733,0.5013,630.8826,625.9603
behaviour_alpha_0.5,behaviour,49,10003.298897814671,7554.0,10006.0,12451.05,11445,2219.7437,0.1621,128.6216,1576.6357,10003,3526.3425,0.501,586.7214,592.7355
behaviour_alpha_0.5,behaviour,50,9594.264753558347,7191.9,9629.0,11939.05,10976,2168.5176,0.1719,132.8163,1504.4361,9594,3519.508,0.508,588.3147,577.9345
behaviour_alpha_1,behaviour,0,1500.0,1127.0,1502.0,1874.0,1715,339.1594,0.1736,21.1264,233.5274,1500,548.7026,0.5023,91.8836,89.2846
behaviour_alpha_1,behaviour,1,3468.284929071741,2617.0,3468.0,4311.0,3955,767.0845,0.1699,46.6457,533.856,3468,1229.7327,0.4996,204.9204,205.1307
behaviour_alpha_1,behaviour,2,7487.874377838954,5680.0,7471.0,9306.0,8629,1677.1578,0.1518,88.8761,1232.7773,7488,2659.3586,0.4932,442.7429,445.6441
behaviour_alpha_1,behaviour,3,14835.832827500017,11255.65,14840.5,18520.199999999997,16977,3340.7669,0.1727,203.9657,2320.9384,14836,5378.6109,0.5009,900.4397,876.4124
behaviour_alpha_1,behaviour,4,26149.967410592108,19745.9,26207.5,32571.299999999996,29963,5829.393,0.1652,340.8888,4124.949,26150,9389.2254,0.5051,1569.6942,1540.7544
behaviour_alpha_1,behaviour,5,40012.46256928085,30040.75,39963.5,49946.399999999994,45713,9128.9125,0.1756,568.3901,6286.962,40012,14511.0519,0.4973,2415.58,2433.1519
behaviour_alpha_1,behaviour,6,53378.2720576572,40073.85,53407.5,66471.15,60956,11975.4911,0.1775,734.2419,8304.2816,53378,19213.1039,0.5017,3203.5107,3195.5504
behaviour_alpha_1,behaviour,7,63820.19142714272,47951.65,63801.0,79287.69999999998,73112,14232.8195,0.1645,810.9197,10178.221,63820,22880.0293,0.4989,3800.788,3876.0893
behaviour_alpha_1,behaviour,8,70373.54554866925,52994.75,70133.5,87738.09999999998,80526,15900.0451,0.1615,928.5117,11257.4866,70374,24908.8561,0.49,4121.9802,4298.9551
behaviour_alpha_1,behaviour,9,73172.94588495338,55946.75,73288.0,91375.59999999999,83813,16300.5663,0.1643,981.0358,11395.3873,73173,26139.2563,0.5039,4394.1508,4168.5023
behaviour_alpha_1,behaviour,10,73051.80564427393,55201.2,73108.0,90953.5,83923,16206.9261,0.157,890.1086,11756.3831,73052,25947.9571,0.502,4325.4471,4320.7216
behaviour_alpha_1,behaviour,11,71038.3986061932,53755.95,71007.5,88239.65,81609,15779.7417,0.1583,857.8655,11490.4142,71038,25164.1201,0.4992,4183.7619,4245.3106
behaviour_alpha_1,behaviour,12,67976.61342941584,51258.75,68049.5,85134.5,78187,15506.9026,0.1625,895.9986,11026.9096,67977,24766.881,0.5021,4140.995,4061.906
behaviour_alpha_1,behaviour,13,64427.03160211699,48297.8,64561.5,80449.05,73492,14519.8758,0.1805,916.6944,9936.4038,64427,23459.2228,0.5049,3917.4189,3872.1283
behaviour_alpha_1,behaviour,14,60721.490945738246,45755.85,60721.0,75654.15,69611,13608.4795,0.1671,781.0517,9703.221,60721,21804.8787,0.5,3628.7849,3660.9542
behaviour_alpha_1,behaviour,15,57043.704255172546,43094.95,56939.5,70926.1,65541,12883.4174,0.1593,717.504,9295.8974,57044,20308.984,0.4947,3371.2651,3452.6585
behaviour_alpha_1,behaviour,16,53490.292265785596,40394.45,53737.0,66807.34999999998,61271,12071.7227,0.1755,753.3187,8305.1292,53490,19725.5517,0.5122,3325.7902,3096.6007
behaviour_alpha_1,behaviour,17,50108.789682616225,37945.75,50204.5,62300.0,57375,11204.7448,0.1653,659.7934,7905.7778,50109,17947.9474,0.5052,2994.6605,2974.6449
behaviour_alpha_1,behaviour,18,46919.5453357036,35445.5,47050.5,58408.05,53853,10440.1239,0.1604,587.9727,7500.2604,46920,16786.7433,0.5065,2801.2426,2780.5303
behaviour_alpha_1,behaviour,19,43927.977945231774,32897.65,43967.5,54871.399999999994,50303,9991.9843,0.172,606.6394,6958.7873,43928,16064.5897,0.5017,2681.2403,2658.3882
behaviour_alpha_1,behaviour,20,41131.38973953183,31040.8,41172.5,51609.25,47251,9467.154,0.1656,571.2392,6610.958,41131,15065.43,0.5019,2524.2852,2444.004
behaviour_alpha_1,behaviour,21,38522.76983975008,28791.9,38587.0,48139.1,44019,8713.3875,0.1771,537.5819,6025.478,38523,14003.8101,0.5046,2335.319,2327.2151
behaviour_alpha_1,behaviour,22,36092.93453612783,27051.8,36133.5,45049.34999999999,41228,8155.5614,0.1754,509.1755,5609.6839,36093,13103.7486,0.5031,2189.7067,2155.2151
behaviour_alpha_1,behaviour,23,33831.74118851179,25528.95,33791.5,42205.49999999999,38763,7621.7257,0.1667,451.032,5366.5657,33832,12255.0371,0.4977,2045.0839,2029.6176
behaviour_alpha_1,behaviour,24,31728.779566541794,23780.75,31755.5,39542.1,36282,7023.2625,0.1676,414.5223,4950.651,31729,11335.2145,0.5025,1892.0143,1875.143
behaviour_alpha_1,behaviour,25,29773.764207536686,22597.0,29786.5,36985.299999999996,34016,6602.0714,0.1696,394.6552,4628.7954,29774,10529.0258,0.5015,1756.1476,1748.2878
behaviour_alpha_1,behaviour,26,27956.753273371858,20953.95,27887.5,34997.149999999994,31955,6389.047,0.1667,389.9943,4439.0755,27957,10038.2966,0.4952,1664.5359,1715.6171
