scenario,group,peak_infected,peak_infected_day,peak_worried,peak_worried_day,peak_pressure,peak_pressure_day,optimized_total_cost,mean_policy_total_cost,relative_cost_reduction_pct
behaviour_alpha_0.5,behaviour,0.5451398943303728,14,0.5028784847851752,7,0.8366499138608142,9,365953.6763,585927.2734999999,37.54281583207442
behaviour_alpha_1,behaviour,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,345863.7319,553645.2709,37.52972343866181
behaviour_alpha_2,behaviour,0.7644780796903455,8,0.29584464882715233,5,0.8251724011386815,7,335649.72550000006,537209.8007,37.5198060305976
uncertainty_alpha_0.5_cv_0.05,uncertainty,0.5451398943303728,14,0.5028784847851752,7,0.8366499138608142,9,121984.6034,195305.79619999998,37.541739275836186
uncertainty_alpha_0.5_cv_0.15,uncertainty,0.5451398943303728,14,0.5028784847851752,7,0.8366499138608142,9,365953.6763,585927.2734999999,37.54281583207442
uncertainty_alpha_0.5_cv_0.30,uncertainty,0.5451398943303728,14,0.5028784847851752,7,0.8366499138608142,9,731274.8319,1170099.1729,37.50317504390742
uncertainty_alpha_1_cv_0.05,uncertainty,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,115287.93260000001,184544.6538,37.52843540786441
uncertainty_alpha_1_cv_0.15,uncertainty,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,345863.7319,553645.2709,37.52972343866181
uncertainty_alpha_1_cv_0.30,uncertainty,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,691130.8749,1105633.5327,37.490058463383285
uncertainty_alpha_2_cv_0.05,uncertainty,0.7644780796903455,8,0.29584464882715233,5,0.8251724011386815,7,111883.22099999999,179068.083,37.51917196768115
uncertainty_alpha_2_cv_0.15,uncertainty,0.7644780796903455,8,0.29584464882715233,5,0.8251724011386815,7,335649.72550000006,537209.8007,37.5198060305976
uncertainty_alpha_2_cv_0.30,uncertainty,0.7644780796903455,8,0.29584464882715233,5,0.8251724011386815,7,670721.4666,1072810.0616000001,37.47994257252966
cost_cu_1_co_1,cost,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,184172.1279,184147.5165,-0.013365045843555712
cost_cu_5_co_1,cost,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,345863.7319,553645.2709,37.52972343866181
cost_cu_10_co_1,cost,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,415224.9299,1015517.4639,59.111985302018596
service_pw_0.25,service_seeking,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,331199.4267,530208.9702999999,37.53417138291671
service_pw_0.50,service_seeking,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,345863.7319,553645.2709,37.52972343866181
service_pw_0.75,service_seeking,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,360528.09870000003,577095.3382999998,37.527116444565436
service_pw_1.00,service_seeking,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,375192.4136,600531.6516000001,37.52329080401131
initial_ip_0.010_iw_0.001,initial_condition,0.6775143349193822,11,0.38234590342795755,6,0.8300096340071061,8,343450.6479,549777.5389,37.52915977848436
initial_ip_0.010_iw_0.010,initial_condition,0.6775143349090924,11,0.4055043704794523,6,0.8339858702462417,8,345863.7319,553645.2709,37.52972343866181
initial_ip_0.001_iw_0.010,initial_condition,0.6793191360790736,14,0.5404450604665673,8,0.8533805643878674,11,354529.8971,567777.2287,37.55827476354724
