scenario,group,day,S,I_P,I_W,R_P,total,pressure,risk_ratio
behaviour_alpha_0.5,behaviour,0,0.98,0.01,0.01,0.0,1.0,0.02,1.0
behaviour_alpha_0.5,behaviour,1,0.9489710544413593,0.019170500910043218,0.030852517111281272,0.0010059275373161154,0.9999999999999999,0.050023018021324486,1.6093745936037578
behaviour_alpha_0.5,behaviour,2,0.8846101074245593,0.035941902211103015,0.07653898127423937,0.002909009090098319,1.0,0.11248088348534238,2.129519490223177
behaviour_alpha_0.5,behaviour,3,0.7680525395393409,0.0646002388576862,0.160949534786338,0.0063976868166347595,0.9999999999999999,0.2255497736440242,2.4914696544839177
behaviour_alpha_0.5,behaviour,4,0.5962818600476553,0.10838327162654479,0.2828901339930222,0.012444734332777747,1.0,0.391273405619567,2.610090374165619
behaviour_alpha_0.5,behaviour,5,0.404431680639024,0.16607475106538944,0.4073857816938826,0.022107786601703764,0.9999999999999999,0.5734605327592721,2.4530265984471087
behaviour_alpha_0.5,behaviour,6,0.24569639311888103,0.2317257647766165,0.48640875565356245,0.03616908645094005,1.0,0.718134520430179,2.0990706670984998
behaviour_alpha_0.5,behaviour,7,0.1434582491637982,0.2987294242415768,0.5028784847851752,0.054933841809449775,1.0,0.8016079090267519,1.6833912027979772
behaviour_alpha_0.5,behaviour,8,0.08704599755212748,0.3623724755855386,0.4722820350458241,0.0782994918165098,1.0,0.8346545106313628,1.3033054850059693
behaviour_alpha_0.5,behaviour,9,0.05746746470872164,0.419300288768162,0.4173496250926522,0.10588262143046415,1.0,0.8366499138608142,0.9953478122296541
behaviour_alpha_0.5,behaviour,10,0.041335743318597205,0.4668685198414828,0.35470713141238774,0.13708860542753226,1.0,0.8215756512538706,0.7597580824957366
behaviour_alpha_0.5,behaviour,11,0.031644096371753694,0.5033034187415826,0.29388680100524817,0.17116568388141565,1.0000000000000002,0.7971902197468308,0.5839157654443475
behaviour_alpha_0.5,behaviour,12,0.025184904938655234,0.5279984798910348,0.2395371885486496,0.20727942662166043,1.0,0.7675356684396843,0.4536702238197426
behaviour_alpha_0.5,behaviour,13,0.020549441050513574,0.5414908470941582,0.19336206261309952,0.2445976492422288,1.0,0.7348529097072577,0.35709202408637647
behaviour_alpha_0.5,behaviour,14,0.017090284580478204,0.5451398943303728,0.15540816681107805,0.282361654278071,1.0,0.7005480611414509,0.2850794235156372
behaviour_alpha_0.5,behaviour,15,0.01446931217011921,0.5407129358721359,0.12488803257529435,0.3199297193824505,1.0,0.6656009684474302,0.23096919694339813
behaviour_alpha_0.5,behaviour,16,0.012479377705610428,0.5300396388981948,0.10068830743254997,0.35679267596364483,1.0,0.6307279463307448,0.18996373109349518
behaviour_alpha_0.5,behaviour,17,0.010977040928211479,0.51479431406493,0.08165938209334825,0.3925692629135103,1.0,0.5964536961582783,0.15862526034630736
behaviour_alpha_0.5,behaviour,18,0.009856350692283097,0.4963945255375597,0.0667588073791584,0.4269903163909988,1.0,0.5631533329167181,0.13448739650555855
behaviour_alpha_0.5,behaviour,19,0.009037029492524136,0.4759787326558699,0.055105385658701975,0.459878852192904,1.0,0.5310841183145718,0.11577278957659413
behaviour_alpha_0.5,behaviour,20,0.008457796174403587,0.45442711164336996,0.04598473074002852,0.49113036144219796,1.0,0.5004118423833985,0.10119275360515219
behaviour_alpha_0.5,behaviour,21,0.008071809703173762,0.4324004316646163,0.03883232733047956,0.5206954313017306,1.0000000000000002,0.47123275899509587,0.08980640278499806
behaviour_alpha_0.5,behaviour,22,0.007843260791635111,0.41038244463499335,0.03320889980799092,0.5485653947653808,1.0000000000000002,0.44359134444298426,0.08092183338282885
behaviour_alpha_0.5,behaviour,23,0.007744754507352919,0.3887187341999319,0.028775550027848356,0.574760961264867,1.0000000000000002,0.4174942842277803,0.07402666117205471
behaviour_alpha_0.5,behaviour,24,0.00775529664764545,0.3676494071574737,0.025271845216415786,0.5993234509784653,1.0000000000000002,0.3929212523738895,0.06873897992059376
behaviour_alpha_0.5,behaviour,25,0.007858756625680785,0.3473352966753527,0.022497784251172492,0.6223081624477942,1.0000000000000002,0.36983308092652517,0.06477252518393119
behaviour_alpha_0.5,behaviour,26,0.008042698981427737,0.3278783532457168,0.020299525045486908,0.6437794227273688,1.0000000000000002,0.3481778782912037,0.061911757347012625
behaviour_alpha_0.5,behaviour,27,0.008297498630532963,0.3093372209100024,0.018558346670178923,0.6638069337892859,1.0000000000000002,0.3278955675801813,0.05999390120459584
behaviour_alpha_0.5,behaviour,28,0.008615671081654869,0.2917389971148771,0.017182229254652494,0.6824631025488156,1.0,0.3089212263695296,0.058895894702368855
behaviour_alpha_0.5,behaviour,29,0.008991365940877516,0.2750880447167325,0.01609947876615602,0.6998211105762341,1.0,0.2911875234828885,0.05852482169021268
behaviour_alpha_0.5,behaviour,30,0.009419980686094565,0.25937256443594797,0.01525391870814113,0.7159535361698165,1.0000000000000002,0.2746264831440891,0.05881084123647968
behaviour_alpha_0.5,behaviour,31,0.009897867500248332,0.24456947984869848,0.014601264887144921,0.7309313877639084,1.0000000000000002,0.2591707447358434,0.05970190923322857
behaviour_alpha_0.5,behaviour,32,0.010422107383456348,0.230648059703915,0.014106390697053989,0.7448234422155748,1.0000000000000002,0.244754450400969,0.061159806482493244
behaviour_alpha_0.5,behaviour,33,0.010990336789401697,0.2175725963542427,0.0137412580387765,0.7576958088175793,1.0000000000000002,0.23131385439301919,0.0631571175278138
behaviour_alpha_0.5,behaviour,34,0.011600612929543964,0.20530438023060715,0.01348334716640436,0.7696116596734447,1.0000000000000002,0.21878772739701152,0.06567491229977293
behaviour_alpha_0.5,behaviour,35,0.012251309020815048,0.19380314868725468,0.0133144599990044,0.7806310822929261,1.0000000000000002,0.20711760868625909,0.06870094778743921
behaviour_alpha_0.5,behaviour,36,0.012941032356032308,0.18302814227419478,0.013219803970739647,0.7908110213990335,1.0000000000000002,0.19624794624493444,0.07222825848789437
behaviour_alpha_0.5,behaviour,37,0.013668559735424812,0.17293886758505436,0.013187287403221374,0.8002052852762996,1.0000000000000002,0.18612615498827573,0.07625404044429535
behaviour_alpha_0.5,behaviour,38,0.014432786900722885,0.1634956403596603,0.013206974451734554,0.8088645982878825,1.0000000000000002,0.17670261481139485,0.08077875607375
behaviour_alpha_0.5,behaviour,39,0.015232688265906184,0.15465996433180995,0.01327066169727191,0.8168366857050122,1.0000000000000002,0.16793062602908188,0.08580541030515706
behaviour_alpha_0.5,behaviour,40,0.016067285531545815,0.1463947868853563,0.013371546956712025,0.824166380626386,1.0000000000000002,0.15976633384206831,0.09133895571830343
behaviour_alpha_0.5,behaviour,41,0.016935622624378286,0.1386646629003936,0.013503969276538286,0.83089574519869,1.0000000000000002,0.15216863217693188,0.09738580106914865
behaviour_alpha_0.5,behaviour,42,0.017836746432779948,0.13143584990697849,0.013663203176416982,0.8370642004838248,1.0000000000000002,0.14509905308339546,0.1039533976923867
behaviour_alpha_0.5,behaviour,43,0.018769691571377617,0.12467635248734159,0.013845295312605067,0.8427086606286759,1.0000000000000002,0.13852164779994666,0.11104989066800605
behaviour_alpha_0.5,behaviour,44,0.019733469014840563,0.11835592906909134,0.014046933649203825,0.8478636682668645,1.0000000000000002,0.13240286271829516,0.11868381888163626
behaviour_alpha_0.5,behaviour,45,0.020727057402358716,0.11244607145056426,0.014265342359307823,0.8525615287877695,1.0000000000000002,0.12671141380987208,0.12686385727205624
behaviour_alpha_0.5,behaviour,46,0.021749396916857996,0.10691996460754505,0.014498196609893847,0.8568324418657033,1.0000000000000002,0.1214181612174389,0.1355985915550027
behaviour_alpha_0.5,behaviour,47,0.022799385052355563,0.10175243272436207,0.014743553177701148,0.8607046290455814,1.0000000000000002,0.11649598590206323,0.1448963212274253
behaviour_alpha_0.5,behaviour,48,0.023875874009056025,0.09691987585977471,0.014999793538449161,0.8642044565927203,1.0000000000000002,0.11191966939822387,0.15476488599873067
behaviour_alpha_0.5,behaviour,49,0.024977669525310293,0.09240020058100398,0.015265576794285434,0.8673565530994005,1.0000000000000002,0.10766577737528941,0.165211511428513
behaviour_alpha_0.5,behaviour,50,0.026103530635616008,0.08817274720536325,0.015539800660440443,0.8701839214985805,1.0000000000000002,0.1037125478658037,0.17624267308181601
